value,bdrms,condition,coopcond,elevator,agperswt,subboroughname,race,year,income_tile,non_bdrms
800000,3,2,3,1,33349349,Upper East Side,White,2002,5,1
40000,3,2,3,1,47855188,Chelsea/Clinton/Midtown,White,2002,2,1
500000,3,2,3,1,52243573,Upper East Side,White,2002,1,1
600000,3,2,3,1,85071912,Upper West Side,White,2002,5,2
1957402,3,2,1,2,49324439,Greenwich Village/Financial District,White,2002,5,5
1957402,5,2,3,1,114010868,Upper East Side,White,2002,5,3
800000,4,1,3,1,74603958,Upper West Side,White,2002,5,3
300000,2,2,3,1,35587646,Stuyvesant Town/Turtle Bay,White,2002,3,1
650000,3,2,3,1,66982232,Upper West Side,White,2002,5,1
400000,2,8,3,1,49324439,Greenwich Village/Financial District,White,2002,5,1
93000,1,2,3,1,18011276,Morningside Heights/Hamilton Heights,White,2002,2,0
11000,2,2,3,1,16050110,Greenwich Village/Financial District,White,2002,2,0
400000,3,2,3,1,19299293,Upper East Side,White,2002,1,2
300000,3,2,3,1,21923910,Upper West Side,White,2002,4,1
250000,3,2,3,1,21996002,Lower East Side/Chinatown,White,2002,1,1
100000,3,1,3,1,21996002,Lower East Side/Chinatown,White,2002,1,1
160000,1,2,3,1,38002220,Upper West Side,White,2002,4,0
800000,4,2,3,1,76176262,Upper East Side,White,2002,5,1
1957402,3,2,2,1,94679760,Upper West Side,White,2002,3,1
1957402,4,2,3,1,86414054,Upper East Side,White,2002,5,2
1957402,4,2,2,1,29179285,Stuyvesant Town/Turtle Bay,White,2002,5,0
500000,2,2,2,1,24662220,Greenwich Village/Financial District,White,2002,1,2
100000,3,2,3,1,71596834,Upper West Side,Others,2002,4,1
13900,2,3,3,1,37380912,Chelsea/Clinton/Midtown,White,2002,3,1
375000,2,2,3,1,20916064,Upper East Side,White,2002,3,1
300000,3,3,3,1,20326285,Lower East Side/Chinatown,Hispanic,2002,1,1
600000,5,2,3,1,85821019,Upper West Side,White,2002,4,3
250000,3,2,3,1,59379806,Greenwich Village/Financial District,White,2002,5,2
375000,6,2,1,2,56303854,Central Harlem,White,2002,5,2
1957402,4,2,3,1,18120005,Stuyvesant Town/Turtle Bay,White,2002,5,4
1957402,4,2,3,1,38002220,Upper West Side,White,2002,5,2
500000,3,2,2,1,55798180,Upper East Side,White,2002,4,1
540000,4,2,3,1,19299293,Upper East Side,White,2002,1,2
250000,2,2,3,1,19700469,Lower East Side/Chinatown,White,2002,4,1
250000,2,2,3,1,34617463,Morningside Heights/Hamilton Heights,White,2002,4,1
400000,2,2,3,1,33349349,Upper East Side,Others,2002,5,1
700000,3,2,3,1,49367071,Stuyvesant Town/Turtle Bay,White,2002,5,3
20000,2,2,3,1,17064138,East Harlem,Black,2002,3,1
265000,2,2,3,1,18690456,Chelsea/Clinton/Midtown,White,2002,4,1
1957402,4,2,3,2,49324439,Greenwich Village/Financial District,White,2002,5,2
200000,1,2,3,1,21923910,Upper West Side,White,2002,1,0
300000,3,2,3,1,44581982,Upper West Side,White,2002,2,2
300000,3,2,3,1,42499189,Central Harlem,Black,2002,5,0
325000,2,2,3,1,21331930,Greenwich Village/Financial District,White,2002,5,2
450000,2,2,2,1,19299293,Upper East Side,White,2002,4,2
500000,2,2,3,2,21923910,Upper West Side,White,2002,3,1
350000,4,2,3,1,61164061,Lower East Side/Chinatown,White,2002,4,1
25000,3,2,3,1,19506173,Central Harlem,Black,2002,1,1
1957402,2,2,2,1,33517613,Chelsea/Clinton/Midtown,White,2002,5,3
670000,2,2,3,1,43847820,Upper West Side,Others,2002,4,1
1957402,2,2,2,1,37380912,Chelsea/Clinton/Midtown,White,2002,5,2
450000,2,2,3,1,37380912,Chelsea/Clinton/Midtown,White,2002,5,1
150000,2,2,3,1,67731339,Upper West Side,White,2002,4,1
1957402,1,2,3,1,41832127,Upper East Side,White,2002,5,0
200000,1,2,3,1,18690456,Chelsea/Clinton/Midtown,White,2002,4,0
500000,3,2,3,1,16674675,Upper East Side,White,2002,2,1
150000,2,2,3,1,19299293,Upper East Side,White,2002,3,2
500000,3,2,3,1,19299293,Upper East Side,White,2002,2,2
350000,2,2,3,1,59704364,Upper West Side,White,2002,5,2
200000,2,2,3,1,19683906,Upper East Side,White,2002,5,0
600000,5,2,3,1,94679760,Upper West Side,White,2002,4,2
1957402,4,2,3,1,21923910,Upper West Side,White,2002,3,2
425000,2,2,3,1,18120005,Stuyvesant Town/Turtle Bay,White,2002,5,2
180000,1,2,3,1,16674675,Upper East Side,White,2002,3,0
500000,2,2,3,1,40792341,Upper East Side,White,2002,5,1
120000,1,2,3,1,18690456,Chelsea/Clinton/Midtown,White,2002,2,0
350000,2,2,2,1,18690456,Chelsea/Clinton/Midtown,White,2002,2,1
300000,2,2,3,1,21923910,Upper West Side,White,2002,2,1
