value,bdrms,non_bdrms,condition,coopcond,elevator,agperswt,subboroughcode,race,income_tile,year
1800000,3,3,2,3,1,20025740,5,1,1,2011
9999999,4,1,2,1,2,96536328,10,3,3,2011
9999999,3,0,3,1,2,1888112,8,2,1,2011
2000000,4,1,2,1,2,113672152,7,1,3,2011
550000,3,1,2,3,1,26173832,10,1,1,2011
500000,3,1,2,2,1,45485408,8,1,3,2011
5162488,3,1,2,3,1,72854976,6,1,3,2011
700000,2,2,2,2,1,15189042,6,1,1,2011
300000,2,0,2,3,2,38159064,4,1,3,2011
1500000,4,2,2,3,1,21861640,4,1,3,2011
750000,4,1,2,2,1,122608560,5,3,3,2011
1200000,3,1,2,3,1,15189042,6,1,3,2011
5162488,5,2,2,3,1,130967824,6,1,3,2011
400000,1,0,2,3,1,21861640,4,1,1,2011
5162488,3,3,2,3,1,41585008,5,1,3,2011
5162488,4,2,2,1,2,20209968,1,3,1,2011
650000,1,0,2,2,1,36208420,4,1,3,2011
400000,2,0,2,3,1,20025740,5,1,3,2011
510000,4,1,2,2,1,18156604,8,2,1,2011
500000,4,1,2,3,1,44021264,2,1,1,2011
400000,2,1,2,3,1,25204430,7,2,1,2011
1000000,5,3,2,2,1,20538370,3,1,3,2011
600000,2,1,2,2,1,20329842,4,4,1,2011
1000000,2,2,2,2,1,58061500,1,1,3,2011
2000000,3,1,2,3,1,54514800,5,1,3,2011
12000,2,1,2,3,1,16552704,6,1,3,2011
2500000,3,1,2,3,1,20025740,5,1,3,2011
1000000,3,1,2,3,1,41969364,1,1,3,2011
9999999,2,1,2,1,2,37876380,5,1,3,2011
750000,2,0,2,3,1,56113356,1,1,3,2011
5162488,3,3,2,2,1,34871672,4,1,3,2011
900000,2,1,2,3,1,20025740,5,1,1,2011
550000,3,1,2,3,1,32163754,2,1,3,2011
300000,2,1,2,2,1,17290180,10,1,1,2011
400000,3,1,2,3,1,18722512,4,1,1,2011
500000,3,1,2,3,1,19097644,2,4,3,2011
1580000,3,0,2,2,1,22620252,3,1,3,2011
5162488,4,2,2,3,1,37445024,6,1,1,2011
30000,2,0,2,3,1,24313652,2,3,1,2011
9999999,3,1,2,3,1,117029264,5,3,1,2011
400000,2,1,2,3,1,21861640,4,4,1,2011
450000,2,1,2,3,1,21861640,4,1,3,2011
800000,2,1,2,3,1,15189042,6,1,1,2011
1023000,3,1,2,1,2,147862224,9,3,3,2011
5162488,4,0,2,2,1,81072168,1,1,1,2011
9999999,1,0,2,1,1,83206000,5,3,1,2011
375000,1,0,2,3,1,15189042,6,1,3,2011
1600000,3,1,2,2,1,20025740,5,2,3,2011
500000,1,1,2,3,1,25204430,7,1,1,2011
750000,2,1,2,3,1,20209968,1,1,1,2011
9999999,3,1,2,3,1,20753122,8,2,1,2011
9999999,2,0,2,1,1,18803070,4,1,1,2011
5162488,4,4,2,2,1,130291488,6,3,1,2011
500000,3,1,2,3,1,40051480,5,1,3,2011
5162488,3,2,2,3,1,51406440,6,1,1,2011
920000,2,0,2,3,1,22620252,3,1,1,2011
1675000,3,3,2,3,1,20025740,5,1,1,2011
1300000,5,0,2,1,2,68897504,8,2,1,2011
400000,2,1,2,3,1,34605060,6,1,3,2011
185000,2,2,2,3,1,30378084,6,1,3,2011
350000,3,1,2,3,1,52347664,10,1,3,2011
700000,2,1,2,3,1,37445024,1,1,3,2011
500000,2,1,2,3,1,21861640,4,1,1,2011
800000,3,1,2,3,1,28056678,4,1,3,2011
700000,2,2,2,3,1,15189042,6,1,1,2011
350000,3,2,2,3,1,20025740,5,1,3,2011
950700,1,1,2,3,1,15189042,6,1,3,2011
480000,2,1,2,3,1,22620252,3,1,1,2011
5162488,4,1,2,3,1,37050020,5,1,3,2011
395000,2,1,2,3,2,41506244,2,4,3,2011
5162488,4,2,2,2,1,87331504,5,1,3,2011
5162488,5,3,2,3,1,49043484,6,1,3,2011
850000,3,1,2,3,1,80604424,5,1,3,2011
2500000,3,2,2,3,1,34605060,6,1,3,2011
1000000,2,0,2,2,1,50576096,3,4,1,2011
950000,3,3,2,3,1,50091664,4,1,3,2011
1500000,2,2,2,3,1,49055020,1,1,1,2011
1150000,3,1,2,3,1,63895232,4,1,1,2011
9956,3,1,2,3,1,17770196,9,2,3,2011
452000,3,1,2,3,1,20792504,5,1,3,2011
26000,2,1,2,3,1,41418908,1,4,3,2011
1000000,8,0,2,1,2,56113356,5,1,3,2011
750000,3,2,2,3,1,21861640,4,1,3,2011
5162488,3,3,2,3,1,49043484,6,1,3,2011
475000,3,1,2,2,1,49055020,1,4,3,2011
2100000,3,1,2,3,1,34605060,6,1,3,2011
900000,3,1,2,3,1,20025740,5,2,1,2011
270000,1,0,2,3,1,18722512,4,1,1,2011
1000000,3,1,2,3,1,24527510,1,1,3,2011
2000000,2,0,2,3,1,49055020,1,1,3,2011
800000,4,2,2,3,1,26173832,10,1,1,2011
1000000,3,1,2,3,1,29508780,6,1,1,2011
1300000,2,1,2,3,1,20209968,1,1,1,2011
400000,3,1,2,3,1,28501140,6,1,3,2011
615000,2,1,2,2,1,34871672,4,1,1,2011
1000000,3,0,2,2,1,96718432,6,3,3,2011
25000,2,1,2,3,1,36799072,9,2,3,2011
800000,3,1,2,3,1,38538772,3,1,1,2011
375000,1,0,2,2,1,20209968,1,1,1,2011
100000,1,0,2,3,1,18938192,5,1,1,2011
250000,5,1,3,3,1,63229488,8,2,3,2011
440000,3,1,2,3,1,37050020,5,1,3,2011
745000,3,1,2,2,1,18722512,1,4,3,2011
5162488,4,3,2,3,1,37050020,5,1,3,2011
500000,2,1,2,3,1,37050020,5,1,1,2011
445000,2,0,2,3,1,34605060,6,1,3,2011
1400000,3,2,2,3,1,20025740,5,1,1,2011
950000,3,2,2,3,1,38538772,3,4,3,2011
500000,2,1,2,3,1,22620252,3,1,1,2011
600000,2,1,2,3,1,44021264,2,4,1,2011
1200000,4,1,2,1,2,36924292,8,1,3,2011
600000,3,1,2,3,1,30202188,10,1,3,2011
735000,2,1,2,3,1,34871672,4,3,1,2011
5162488,4,2,2,3,1,15189042,6,1,1,2011
450000,2,1,2,3,1,65286052,6,1,1,2011
525000,3,2,2,3,1,97144792,9,1,3,2011
9999999,2,1,2,1,1,36615144,3,1,1,2011
330000,1,0,2,3,1,21861640,4,4,1,2011
600000,3,1,2,3,1,32406152,6,1,1,2011
5162488,5,3,2,3,1,96626840,6,1,1,2011
500000,3,1,2,3,1,53528944,2,2,3,2011
850000,2,1,2,3,1,20209968,1,1,1,2011
550000,1,0,2,2,1,14632568,5,4,1,2011
5162488,5,2,2,1,2,126537376,2,1,3,2011
2500000,4,3,2,3,1,93567168,6,1,1,2011
650000,2,1,2,3,1,34605060,6,1,1,2011
250000,3,1,2,3,1,85485944,10,3,1,2011
5162488,5,3,2,3,1,34605060,6,1,3,2011
438000,2,0,2,3,2,37050020,5,1,1,2011
2000000,3,2,2,3,1,49055020,1,1,1,2011
650000,1,0,2,2,1,17435836,4,4,3,2011
5162488,3,1,2,3,1,37445024,6,1,3,2011
395000,3,0,2,3,2,55376532,2,4,3,2011
900000,4,1,2,3,1,26173832,10,1,3,2011
1200,4,1,2,3,2,45400072,7,3,3,2011
1000000,2,2,2,3,1,21861640,4,1,1,2011
600000,4,1,2,3,1,20025740,5,1,3,2011
1100000,2,1,2,3,1,76300768,1,1,1,2011
1000000,3,1,2,2,1,34605060,6,2,3,2011
500000,4,1,2,3,1,82943776,2,3,3,2011
300000,2,1,2,2,1,25204430,7,4,3,2011
12000,2,1,2,3,1,26173832,2,1,3,2011
12000,3,2,2,3,1,70617576,3,2,3,2011
900000,3,2,2,3,1,20025740,5,4,1,2011
300000,2,1,3,3,2,34605060,6,1,1,2011
800000,3,1,2,3,1,15189042,6,1,3,2011
550000,2,0,2,3,1,73280944,5,1,1,2011
1300000,3,0,2,2,1,22010632,2,3,3,2011
250000,4,1,2,3,1,67146464,8,2,3,2011
1500000,4,3,2,3,1,37050020,5,1,3,2011
320000,1,0,3,3,2,49055020,1,1,1,2011
400000,1,0,2,3,1,18722512,5,1,3,2011
995000,3,1,2,3,1,15189042,6,1,1,2011
9999999,3,1,2,3,1,18938192,5,1,3,2011
600000,2,1,2,3,1,17435836,4,1,1,2011
600000,2,0,2,3,1,55625256,5,1,3,2011
1200000,3,1,2,3,1,51406440,6,1,3,2011
300000,1,0,2,3,1,41076740,3,4,1,2011
300000,2,1,2,3,2,22620252,3,1,1,2011
5162488,4,2,2,3,1,45787064,5,1,3,2011
1000000,2,1,2,2,1,22620252,3,3,1,2011
800000,2,1,2,2,1,22620252,3,4,1,2011
5162488,4,4,2,3,1,46024104,1,1,1,2011
475000,2,1,2,3,1,20209968,1,1,1,2011
240000,5,1,2,3,2,85567512,10,3,3,2011
900000,3,3,2,3,1,77839320,1,1,3,2011
300000,1,0,2,3,1,15189042,6,1,1,2011
9999999,3,1,2,1,2,54412384,10,3,3,2011
800000,1,1,2,3,1,21861640,4,1,3,2011
500000,3,1,2,2,1,18156604,8,1,3,2011
25000,4,2,2,3,1,63262636,8,2,3,2011
1000000,4,2,2,3,1,18722512,1,1,3,2011
600000,2,1,2,3,1,15189042,6,1,1,2011
750000,3,1,2,3,1,71486712,2,4,3,2011
100000,3,0,2,3,2,18399536,7,2,1,2011
850000,2,0,2,3,1,22620252,3,1,3,2011
500000,2,1,2,3,1,80604424,1,1,1,2011
1000000,3,3,2,3,1,34605060,6,1,3,2011
9999999,1,0,2,3,1,17435836,4,4,1,2011
500000,3,1,2,3,1,31542576,6,1,1,2011
500000,3,1,2,3,1,51974140,10,2,1,2011
750000,1,0,2,3,1,28056678,6,1,3,2011
500000,3,1,2,3,1,18736204,2,1,1,2011
1900000,3,2,2,2,1,20209968,1,4,3,2011
600000,2,1,2,2,1,21861640,4,4,1,2011
5162488,4,3,2,3,1,18525008,5,1,1,2011
500000,3,1,2,3,1,99281376,7,1,3,2011
5162488,3,1,2,3,1,15189042,6,1,3,2011
1000000,2,1,2,3,1,21861640,4,4,1,2011
550000,3,0,2,3,1,34580360,2,1,3,2011
500000,2,1,2,3,1,38757456,8,2,3,2011
500000,2,1,2,3,1,77598832,8,2,3,2011
525000,4,2,2,3,1,51369744,9,1,3,2011
5162488,3,5,2,3,1,33105408,6,1,1,2011
500000,4,4,2,3,1,36799072,8,1,3,2011
300000,2,1,2,2,1,56113356,7,1,3,2011
1050000,3,1,2,2,1,20209968,1,1,3,2011
15000,3,1,2,3,1,36799072,8,2,3,2011
500000,2,1,2,3,1,20209968,1,1,3,2011
1200,4,1,2,3,2,142300896,7,3,3,2011
1500000,3,1,2,3,1,20025740,5,1,3,2011
1500000,3,2,2,3,1,35931584,6,1,3,2011
900000,3,1,2,3,1,20025740,5,1,3,2011
1600000,2,1,2,2,1,20025740,5,3,3,2011
1000000,3,0,2,2,1,19340500,3,1,1,2011
650000,2,0,2,3,1,17435836,4,1,1,2011
2000000,3,1,2,3,1,21861640,4,1,3,2011
525000,1,0,2,3,1,22620252,3,1,1,2011
1150000,3,1,2,2,1,34605060,6,1,1,2011
9999999,3,1,2,1,1,48411576,3,1,3,2011
800000,2,1,2,2,1,94667256,4,1,1,2011
950700,1,0,2,2,1,35768888,6,4,1,2011
507000,2,1,2,3,1,21861640,4,1,3,2011
500000,4,1,2,3,1,45640184,8,3,3,2011
500000,2,1,2,2,1,18156604,8,2,3,2011
9999999,2,0,2,1,1,120211344,2,3,1,2011
5162488,4,3,2,3,1,37050020,5,1,3,2011
400000,2,1,2,3,1,18938192,5,1,1,2011
800000,2,1,2,2,1,61020236,3,1,1,2011
1200000,3,1,2,2,1,84717792,5,1,1,2011
2000000,3,1,2,3,2,80049168,1,1,3,2011
18000,2,1,2,3,1,15189042,6,1,1,2011
5162488,5,3,2,3,1,65851592,5,1,3,2011
850000,2,1,2,3,1,34605060,6,1,1,2011
400000,2,1,2,3,1,28056678,5,3,3,2011
750000,4,1,2,2,1,26173832,10,1,1,2011
19000,2,1,2,3,1,42337296,10,3,1,2011
700000,4,1,2,2,1,94902176,5,4,3,2011
507000,3,1,2,3,1,21861640,4,1,3,2011
15000,2,1,2,3,1,41076740,3,1,1,2011
400000,1,0,2,3,1,20025740,5,1,3,2011
750000,2,1,2,3,1,18722512,1,1,3,2011
2400000,4,1,2,2,1,89807888,1,1,3,2011
600000,2,2,2,3,1,34605060,6,1,3,2011
1000000,3,1,2,3,1,34871672,4,1,1,2011
1600000,3,2,2,2,1,18722512,3,1,1,2011
800000,3,1,2,3,1,34871672,4,1,3,2011
750000,2,1,2,2,1,20025740,5,4,1,2011
350000,3,2,2,3,1,44021264,10,1,3,2011
5162488,2,6,2,3,1,37445024,4,1,3,2011
320000,2,1,3,3,2,15189042,6,1,1,2011
9956,2,1,2,3,1,65578224,9,4,1,2011
9999999,3,0,2,1,2,65286052,4,3,3,2011
999000,3,1,2,3,1,65771152,5,1,1,2011
830000,2,1,2,3,1,15189042,6,1,3,2011
800000,2,1,2,3,1,45240504,3,1,3,2011
400000,2,1,2,3,1,44021264,10,4,1,2011
700000,2,1,2,2,1,43723280,4,4,3,2011
275000,2,0,2,2,1,34605060,6,1,1,2011
100000,4,1,2,3,2,51274640,7,2,3,2011
350000,2,1,2,3,2,20025740,5,1,3,2011
350000,1,0,2,3,2,20025740,5,1,1,2011
26000,1,0,2,3,1,16529210,1,4,1,2011
5162488,5,1,2,3,1,37050020,5,1,3,2011
1300000,3,3,2,3,1,49055020,1,1,1,2011
650000,4,2,2,3,1,20209968,1,1,3,2011
1000000,3,1,2,2,1,21861640,4,1,1,2011
920000,1,0,2,3,1,22620252,3,1,3,2011
600000,4,1,2,2,1,34871672,4,1,3,2011
500000,4,1,2,3,1,18736204,2,1,3,2011
140000,2,1,2,3,1,18722512,5,1,3,2011
600000,2,1,2,2,1,21861640,4,1,1,2011
1300000,3,2,2,2,1,57586872,6,1,1,2011
650000,2,2,2,3,2,20025740,5,1,3,2011
450000,2,1,2,3,1,34605060,6,1,1,2011
475000,3,1,2,2,1,104554112,1,4,3,2011
250000,4,1,2,3,1,58063752,8,3,3,2011
550000,2,1,2,2,1,21861640,4,1,3,2011
900000,2,1,2,3,1,37050020,5,1,1,2011
550000,2,1,2,3,1,22620252,3,1,1,2011
1200000,2,0,2,2,1,45240504,3,1,1,2011
380000,2,1,2,3,1,16566963,3,4,1,2011
800000,2,1,2,2,1,20209968,1,1,1,2011
600000,3,1,2,3,1,34605060,6,1,1,2011
700000,4,1,2,3,2,6401219,7,3,3,2011
485000,2,1,2,3,1,15189042,6,4,1,2011
575000,1,1,2,2,1,20025740,5,1,1,2011
350000,2,1,2,3,1,26173832,10,1,3,2011
800000,2,1,2,3,1,20209968,1,1,1,2011
200000,2,1,2,2,1,26173832,2,4,1,2011
9999999,3,1,2,3,1,30012292,1,1,3,2011
1800000,5,1,2,2,1,68839672,4,3,1,2011
1200000,5,2,2,3,1,51489672,4,1,1,2011
550000,2,1,2,2,1,15189042,6,1,1,2011
1600000,3,2,2,2,1,51406440,6,1,3,2011
450000,2,1,2,3,1,21861640,4,4,3,2011
560000,1,0,2,3,1,18722512,5,2,1,2011
1250000,2,1,2,3,1,18825748,1,1,1,2011
