value,bdrms,subboroughname,race,year,income_tile,non_bdrms
800000,3,Upper East Side,White,2002,5,1
40000,3,Chelsea/Clinton/Midtown,White,2002,2,1
500000,3,Upper East Side,White,2002,1,1
600000,3,Upper West Side,White,2002,5,2
1957402,3,Greenwich Village/Financial District,White,2002,5,5
1957402,5,Upper East Side,White,2002,5,3
800000,4,Upper West Side,White,2002,5,3
300000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
650000,3,Upper West Side,White,2002,5,1
400000,2,Greenwich Village/Financial District,White,2002,5,1
93000,1,Morningside Heights/Hamilton Heights,White,2002,2,0
11000,2,Greenwich Village/Financial District,White,2002,2,0
400000,3,Upper East Side,White,2002,1,2
300000,3,Upper West Side,White,2002,4,1
250000,3,Lower East Side/Chinatown,White,2002,1,1
100000,3,Lower East Side/Chinatown,White,2002,1,1
160000,1,Upper West Side,White,2002,4,0
800000,4,Upper East Side,White,2002,5,1
1957402,3,Upper West Side,White,2002,3,1
1957402,4,Upper East Side,White,2002,5,2
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,0
500000,2,Greenwich Village/Financial District,White,2002,1,2
100000,3,Upper West Side,Others,2002,4,1
13900,2,Chelsea/Clinton/Midtown,White,2002,3,1
375000,2,Upper East Side,White,2002,3,1
300000,3,Lower East Side/Chinatown,Hispanic,2002,1,1
600000,5,Upper West Side,White,2002,4,3
250000,3,Greenwich Village/Financial District,White,2002,5,2
375000,6,Central Harlem,White,2002,5,2
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,4
1957402,4,Upper West Side,White,2002,5,2
500000,3,Upper East Side,White,2002,4,1
540000,4,Upper East Side,White,2002,1,2
250000,2,Lower East Side/Chinatown,White,2002,4,1
250000,2,Morningside Heights/Hamilton Heights,White,2002,4,1
400000,2,Upper East Side,Others,2002,5,1
700000,3,Stuyvesant Town/Turtle Bay,White,2002,5,3
20000,2,East Harlem,Black,2002,3,1
265000,2,Chelsea/Clinton/Midtown,White,2002,4,1
1957402,4,Greenwich Village/Financial District,White,2002,5,2
200000,1,Upper West Side,White,2002,1,0
300000,3,Upper West Side,White,2002,2,2
300000,3,Central Harlem,Black,2002,5,0
325000,2,Greenwich Village/Financial District,White,2002,5,2
450000,2,Upper East Side,White,2002,4,2
500000,2,Upper West Side,White,2002,3,1
350000,4,Lower East Side/Chinatown,White,2002,4,1
25000,3,Central Harlem,Black,2002,1,1
1957402,2,Chelsea/Clinton/Midtown,White,2002,5,3
670000,2,Upper West Side,Others,2002,4,1
1957402,2,Chelsea/Clinton/Midtown,White,2002,5,2
450000,2,Chelsea/Clinton/Midtown,White,2002,5,1
150000,2,Upper West Side,White,2002,4,1
1957402,1,Upper East Side,White,2002,5,0
200000,1,Chelsea/Clinton/Midtown,White,2002,4,0
500000,3,Upper East Side,White,2002,2,1
150000,2,Upper East Side,White,2002,3,2
500000,3,Upper East Side,White,2002,2,2
350000,2,Upper West Side,White,2002,5,2
200000,2,Upper East Side,White,2002,5,0
600000,5,Upper West Side,White,2002,4,2
1957402,4,Upper West Side,White,2002,3,2
425000,2,Stuyvesant Town/Turtle Bay,White,2002,5,2
180000,1,Upper East Side,White,2002,3,0
500000,2,Upper East Side,White,2002,5,1
120000,1,Chelsea/Clinton/Midtown,White,2002,2,0
350000,2,Chelsea/Clinton/Midtown,White,2002,2,1
300000,2,Upper West Side,White,2002,2,1
350000,1,Stuyvesant Town/Turtle Bay,White,2002,3,0
1957402,4,Upper East Side,White,2002,5,4
150000,2,Washington Heights/Inwood,White,2002,1,1
400000,2,Chelsea/Clinton/Midtown,White,2002,4,1
500000,3,Chelsea/Clinton/Midtown,White,2002,5,1
375000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1
600,4,Central Harlem,Hispanic,2002,2,1
200000,2,Upper West Side,White,2002,1,1
350000,3,Greenwich Village/Financial District,White,2002,4,1
500000,2,Upper East Side,White,2002,1,1
935000,3,Chelsea/Clinton/Midtown,White,2002,5,2
350000,2,Greenwich Village/Financial District,White,2002,4,1
800000,2,Upper West Side,White,2002,4,1
275000,1,Upper East Side,White,2002,5,1
500000,2,Upper West Side,White,2002,4,2
800000,3,Upper East Side,Others,2002,5,0
10000,3,Morningside Heights/Hamilton Heights,Black,2002,4,1
1957402,4,Upper West Side,White,2002,5,1
275000,5,Upper East Side,Others,2002,2,3
300000,2,Stuyvesant Town/Turtle Bay,White,2002,4,0
375000,2,Greenwich Village/Financial District,Others,2002,2,1
500000,3,Upper East Side,White,2002,5,1
1957402,5,Upper East Side,White,2002,5,3
250000,2,Lower East Side/Chinatown,White,2002,3,1
1957402,4,Upper West Side,White,2002,5,4
275000,2,Upper East Side,White,2002,5,2
800000,4,Upper East Side,White,2002,4,3
350000,2,Chelsea/Clinton/Midtown,White,2002,3,1
40000,2,Lower East Side/Chinatown,Hispanic,2002,3,1
1957402,4,Upper East Side,White,2002,2,4
20000,2,East Harlem,Black,2002,2,1
350000,3,Upper West Side,White,2002,5,2
300000,4,Upper West Side,White,2002,5,2
700000,3,Upper West Side,White,2002,5,1
180000,2,Upper East Side,Others,2002,5,0
670000,3,Upper West Side,White,2002,5,0
150000,1,Upper East Side,White,2002,3,1
250000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
200000,4,Central Harlem,Black,2002,3,2
400000,2,Upper West Side,White,2002,3,2
500000,3,Upper East Side,White,2002,5,1
6000,3,Central Harlem,Black,2002,1,2
100000,3,Morningside Heights/Hamilton Heights,White,2002,2,1
400000,2,Upper East Side,White,2002,4,1
300000,3,Upper West Side,Black,2002,3,1
650000,3,Greenwich Village/Financial District,White,2002,2,2
1957402,3,Upper West Side,White,2002,5,3
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,5
1957402,2,Upper East Side,White,2002,2,1
700000,2,Upper West Side,White,2002,4,1
750000,3,Upper East Side,White,2002,5,2
450000,2,Upper West Side,White,2002,5,1
200000,1,Chelsea/Clinton/Midtown,Hispanic,2002,2,0
200000,3,Upper East Side,White,2002,4,2
500000,4,Upper East Side,White,2002,2,3
200000,2,Chelsea/Clinton/Midtown,Hispanic,2002,2,1
220000,1,Upper West Side,Others,2002,3,0
600000,3,Upper West Side,White,2002,5,1
400000,2,Upper East Side,White,2002,3,2
140000,3,Morningside Heights/Hamilton Heights,Black,2002,5,1
13500,3,Morningside Heights/Hamilton Heights,Hispanic,2002,2,1
100000,3,Central Harlem,Black,2002,3,1
670000,4,Upper West Side,White,2002,4,1
300000,2,Stuyvesant Town/Turtle Bay,White,2002,4,0
450000,3,Greenwich Village/Financial District,White,2002,4,2
500000,4,Lower East Side/Chinatown,White,2002,5,2
250000,2,Greenwich Village/Financial District,Others,2002,5,1
220000,1,Upper East Side,White,2002,3,0
300000,2,Lower East Side/Chinatown,White,2002,2,1
100000,2,Upper West Side,White,2002,5,1
1957402,5,Greenwich Village/Financial District,White,2002,3,3
