value,bdrms,subboroughname,race,year,income_tile,non_bdrms,agperswt
800000,3,Upper East Side,White,2002,5,1,33349349
40000,3,Chelsea/Clinton/Midtown,White,2002,2,1,47855188
500000,3,Upper East Side,White,2002,1,1,52243573
600000,3,Upper West Side,White,2002,5,2,85071912
1957402,3,Greenwich Village/Financial District,White,2002,5,5,49324439
1957402,5,Upper East Side,White,2002,5,3,114010868
800000,4,Upper West Side,White,2002,5,3,74603958
300000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1,35587646
650000,3,Upper West Side,White,2002,5,1,66982232
400000,2,Greenwich Village/Financial District,White,2002,5,1,49324439
93000,1,Morningside Heights/Hamilton Heights,White,2002,2,0,18011276
11000,2,Greenwich Village/Financial District,White,2002,2,0,16050110
400000,3,Upper East Side,White,2002,1,2,19299293
300000,3,Upper West Side,White,2002,4,1,21923910
250000,3,Lower East Side/Chinatown,White,2002,1,1,21996002
100000,3,Lower East Side/Chinatown,White,2002,1,1,21996002
160000,1,Upper West Side,White,2002,4,0,38002220
800000,4,Upper East Side,White,2002,5,1,76176262
1957402,3,Upper West Side,White,2002,3,1,94679760
1957402,4,Upper East Side,White,2002,5,2,86414054
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,0,29179285
500000,2,Greenwich Village/Financial District,White,2002,1,2,24662220
100000,3,Upper West Side,Others,2002,4,1,71596834
13900,2,Chelsea/Clinton/Midtown,White,2002,3,1,37380912
375000,2,Upper East Side,White,2002,3,1,20916064
300000,3,Lower East Side/Chinatown,Hispanic,2002,1,1,20326285
600000,5,Upper West Side,White,2002,4,3,85821019
250000,3,Greenwich Village/Financial District,White,2002,5,2,59379806
375000,6,Central Harlem,White,2002,5,2,56303854
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,4,18120005
1957402,4,Upper West Side,White,2002,5,2,38002220
500000,3,Upper East Side,White,2002,4,1,55798180
540000,4,Upper East Side,White,2002,1,2,19299293
250000,2,Lower East Side/Chinatown,White,2002,4,1,19700469
250000,2,Morningside Heights/Hamilton Heights,White,2002,4,1,34617463
400000,2,Upper East Side,Others,2002,5,1,33349349
700000,3,Stuyvesant Town/Turtle Bay,White,2002,5,3,49367071
20000,2,East Harlem,Black,2002,3,1,17064138
265000,2,Chelsea/Clinton/Midtown,White,2002,4,1,18690456
1957402,4,Greenwich Village/Financial District,White,2002,5,2,49324439
200000,1,Upper West Side,White,2002,1,0,21923910
300000,3,Upper West Side,White,2002,2,2,44581982
300000,3,Central Harlem,Black,2002,5,0,42499189
325000,2,Greenwich Village/Financial District,White,2002,5,2,21331930
450000,2,Upper East Side,White,2002,4,2,19299293
500000,2,Upper West Side,White,2002,3,1,21923910
350000,4,Lower East Side/Chinatown,White,2002,4,1,61164061
25000,3,Central Harlem,Black,2002,1,1,19506173
1957402,2,Chelsea/Clinton/Midtown,White,2002,5,3,33517613
670000,2,Upper West Side,Others,2002,4,1,43847820
1957402,2,Chelsea/Clinton/Midtown,White,2002,5,2,37380912
450000,2,Chelsea/Clinton/Midtown,White,2002,5,1,37380912
150000,2,Upper West Side,White,2002,4,1,67731339
1957402,1,Upper East Side,White,2002,5,0,41832127
200000,1,Chelsea/Clinton/Midtown,White,2002,4,0,18690456
500000,3,Upper East Side,White,2002,2,1,16674675
150000,2,Upper East Side,White,2002,3,2,19299293
500000,3,Upper East Side,White,2002,2,2,19299293
350000,2,Upper West Side,White,2002,5,2,59704364
200000,2,Upper East Side,White,2002,5,0,19683906
600000,5,Upper West Side,White,2002,4,2,94679760
1957402,4,Upper West Side,White,2002,3,2,21923910
425000,2,Stuyvesant Town/Turtle Bay,White,2002,5,2,18120005
180000,1,Upper East Side,White,2002,3,0,16674675
500000,2,Upper East Side,White,2002,5,1,40792341
120000,1,Chelsea/Clinton/Midtown,White,2002,2,0,18690456
350000,2,Chelsea/Clinton/Midtown,White,2002,2,1,18690456
300000,2,Upper West Side,White,2002,2,1,21923910
350000,1,Stuyvesant Town/Turtle Bay,White,2002,3,0,18120005
1957402,4,Upper East Side,White,2002,5,4,79268984
150000,2,Washington Heights/Inwood,White,2002,1,1,21056935
400000,2,Chelsea/Clinton/Midtown,White,2002,4,1,48037524
500000,3,Chelsea/Clinton/Midtown,White,2002,5,1,40304894
375000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1,36240009
600,4,Central Harlem,Hispanic,2002,2,1,43878318
200000,2,Upper West Side,White,2002,1,1,20144178
350000,3,Greenwich Village/Financial District,White,2002,4,1,111403942
500000,2,Upper East Side,White,2002,1,1,33349349
935000,3,Chelsea/Clinton/Midtown,White,2002,5,2,40304894
350000,2,Greenwich Village/Financial District,White,2002,4,1,23552681
800000,2,Upper West Side,White,2002,4,1,21923910
275000,1,Upper East Side,White,2002,5,1,33349349
500000,2,Upper West Side,White,2002,4,2,21923910
800000,3,Upper East Side,Others,2002,5,0,33349349
10000,3,Morningside Heights/Hamilton Heights,Black,2002,4,1,50822808
1957402,4,Upper West Side,White,2002,5,1,38002220
275000,5,Upper East Side,Others,2002,2,3,19299293
300000,2,Stuyvesant Town/Turtle Bay,White,2002,4,0,35587646
375000,2,Greenwich Village/Financial District,Others,2002,2,1,24662220
500000,3,Upper East Side,White,2002,5,1,19299293
1957402,5,Upper East Side,White,2002,5,3,44945177
250000,2,Lower East Side/Chinatown,White,2002,3,1,71059718
1957402,4,Upper West Side,White,2002,5,4,38002220
275000,2,Upper East Side,White,2002,5,2,19299293
800000,4,Upper East Side,White,2002,4,3,19299293
350000,2,Chelsea/Clinton/Midtown,White,2002,3,1,18690456
40000,2,Lower East Side/Chinatown,Hispanic,2002,3,1,42470836
1957402,4,Upper East Side,White,2002,2,4,19299293
20000,2,East Harlem,Black,2002,2,1,14870327
350000,3,Upper West Side,White,2002,5,2,37013443
300000,4,Upper West Side,White,2002,5,2,106295113
700000,3,Upper West Side,White,2002,5,1,38002220
180000,2,Upper East Side,Others,2002,5,0,65346308
670000,3,Upper West Side,White,2002,5,0,89163964
150000,1,Upper East Side,White,2002,3,1,19299293
250000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1,35587646
200000,4,Central Harlem,Black,2002,3,2,45370133
400000,2,Upper West Side,White,2002,3,2,21923910
500000,3,Upper East Side,White,2002,5,1,61818277
6000,3,Central Harlem,Black,2002,1,2,57147449
100000,3,Morningside Heights/Hamilton Heights,White,2002,2,1,18011276
400000,2,Upper East Side,White,2002,4,1,19683906
300000,3,Upper West Side,Black,2002,3,1,47655060
650000,3,Greenwich Village/Financial District,White,2002,2,2,55505937
1957402,3,Upper West Side,White,2002,5,3,42663860
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,5,17793823
1957402,2,Upper East Side,White,2002,2,1,19299293
700000,2,Upper West Side,White,2002,4,1,38002220
750000,3,Upper East Side,White,2002,5,2,33349349
450000,2,Upper West Side,White,2002,5,1,38002220
200000,1,Chelsea/Clinton/Midtown,Hispanic,2002,2,0,40304894
200000,3,Upper East Side,White,2002,4,2,66758680
500000,4,Upper East Side,White,2002,2,3,19299293
200000,2,Chelsea/Clinton/Midtown,Hispanic,2002,2,1,18690456
220000,1,Upper West Side,Others,2002,3,0,18506721
600000,3,Upper West Side,White,2002,5,1,38002220
400000,2,Upper East Side,White,2002,3,2,19299293
140000,3,Morningside Heights/Hamilton Heights,Black,2002,5,1,34617463
13500,3,Morningside Heights/Hamilton Heights,Hispanic,2002,2,1,99417335
100000,3,Central Harlem,Black,2002,3,1,16690563
670000,4,Upper West Side,White,2002,4,1,21923910
300000,2,Stuyvesant Town/Turtle Bay,White,2002,4,0,68462861
450000,3,Greenwich Village/Financial District,White,2002,4,2,49324439
500000,4,Lower East Side/Chinatown,White,2002,5,2,127990822
250000,2,Greenwich Village/Financial District,Others,2002,5,1,100106074
220000,1,Upper East Side,White,2002,3,0,19299293
300000,2,Lower East Side/Chinatown,White,2002,2,1,19700469
100000,2,Upper West Side,White,2002,5,1,43847820
1957402,5,Greenwich Village/Financial District,White,2002,3,3,22672790
200000,3,Lower East Side/Chinatown,White,2002,2,1,42128070
10000,3,Morningside Heights/Hamilton Heights,Black,2002,4,2,34617463
200000,3,Lower East Side/Chinatown,White,2002,5,1,40374357
200000,3,Central Harlem,Black,2002,2,2,14870327
800000,4,Upper West Side,White,2002,5,2,38002220
1957402,3,Upper West Side,White,2002,5,1,38002220
200000,2,Chelsea/Clinton/Midtown,White,2002,3,1,20152447
527000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1,18120005
200000,3,Greenwich Village/Financial District,White,2002,3,1,23552681
650000,2,Upper West Side,White,2002,5,1,21923910
1957402,4,Upper East Side,Hispanic,2002,5,4,107136120
500000,2,Upper East Side,White,2002,5,0,33349349
600,4,Central Harlem,Black,2002,1,1,19506173
252000,2,Greenwich Village/Financial District,White,2002,3,1,16050110
1957402,4,Chelsea/Clinton/Midtown,White,2002,5,1,40304894
450000,2,Chelsea/Clinton/Midtown,White,2002,5,1,20396170
300000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1,36240009
750000,2,Greenwich Village/Financial District,White,2002,2,2,23552681
260000,2,Upper West Side,White,2002,4,1,21923910
125000,1,Upper East Side,Others,2002,3,1,19299293
350000,2,Stuyvesant Town/Turtle Bay,White,2002,2,0,18120005
500000,2,Chelsea/Clinton/Midtown,White,2002,2,1,17911474
180000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1,18120005
400000,3,Upper East Side,White,2002,4,1,33349349
275000,2,Upper East Side,White,2002,3,1,16674675
425000,2,Upper East Side,White,2002,5,1,61134569
200000,1,Stuyvesant Town/Turtle Bay,White,2002,3,1,18120005
90000,2,Upper West Side,White,2002,1,0,21923910
300000,2,Upper East Side,White,2002,3,1,19299293
935000,3,Chelsea/Clinton/Midtown,White,2002,5,1,27752968
450000,2,Chelsea/Clinton/Midtown,White,2002,4,1,79969347
350000,2,Upper West Side,White,2002,3,1,21923910
125000,1,Stuyvesant Town/Turtle Bay,White,2002,2,0,18120005
100000,3,Stuyvesant Town/Turtle Bay,White,2002,3,2,18120005
160000,3,Upper West Side,White,2002,2,1,21923910
150000,2,Washington Heights/Inwood,White,2002,2,1,18011276
675000,3,Upper East Side,White,2002,3,1,33349349
200000,3,Central Harlem,Black,2002,3,1,14870327
550000,3,Upper West Side,Others,2002,4,2,70213228
325000,3,Lower East Side/Chinatown,Black,2002,4,1,48110895
500000,2,Upper West Side,White,2002,5,1,38691316
1957402,3,Chelsea/Clinton/Midtown,White,2002,5,1,40304894
8000,3,Stuyvesant Town/Turtle Bay,White,2002,3,1,35587646
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,4,49367071
160000,1,Upper West Side,White,2002,3,0,21923910
1957402,3,Upper East Side,White,2002,5,2,16758807
200000,2,Upper West Side,Hispanic,2002,3,0,38002220
500000,2,Upper East Side,White,2002,1,1,19299293
280000,2,Chelsea/Clinton/Midtown,White,2002,5,2,40304894
85000,2,Central Harlem,Black,2002,2,1,45548749
33900,1,Greenwich Village/Financial District,White,2002,5,0,23552681
325000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1,36240009
1957402,3,Lower East Side/Chinatown,White,2002,5,1,42128070
900000,3,Upper East Side,White,2002,3,4,33349349
500000,3,Upper East Side,White,2002,3,1,30403390
10000,1,Morningside Heights/Hamilton Heights,White,2002,1,0,42259552
30000,3,East Harlem,Hispanic,2002,1,1,33381125
329000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1,19671842
300000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1,18120005
10000,4,Stuyvesant Town/Turtle Bay,White,2002,4,1,45842865
500000,2,Greenwich Village/Financial District,White,2002,5,1,24662220
250000,2,Upper East Side,White,2002,4,1,33349349
300000,2,Upper West Side,Others,2002,2,1,21923910
600000,3,Upper West Side,White,2002,2,1,69991069
610000,2,Upper East Side,Others,2002,5,2,113474835
375000,2,Upper East Side,White,2002,4,1,33349349
350000,2,Chelsea/Clinton/Midtown,Others,2002,5,0,133310121
10000,4,Central Harlem,Black,2002,3,1,114768039
550000,3,Upper West Side,White,2002,5,1,66982232
350000,2,Stuyvesant Town/Turtle Bay,White,2002,4,0,18120005
