value,bdrms,non_bdrms,subboroughcode,race,income_tile,year
1800000,3,3,5,1,1,2011
9999999,4,1,10,3,3,2011
9999999,3,0,8,2,1,2011
2000000,4,1,7,1,3,2011
550000,3,1,10,1,1,2011
500000,3,1,8,1,3,2011
5162488,3,1,6,1,3,2011
700000,2,2,6,1,1,2011
300000,2,0,4,1,3,2011
1500000,4,2,4,1,3,2011
750000,4,1,5,3,3,2011
1200000,3,1,6,1,3,2011
5162488,5,2,6,1,3,2011
400000,1,0,4,1,1,2011
5162488,3,3,5,1,3,2011
5162488,4,2,1,3,1,2011
650000,1,0,4,1,3,2011
400000,2,0,5,1,3,2011
510000,4,1,8,2,1,2011
500000,4,1,2,1,1,2011
400000,2,1,7,2,1,2011
1000000,5,3,3,1,3,2011
600000,2,1,4,4,1,2011
1000000,2,2,1,1,3,2011
2000000,3,1,5,1,3,2011
12000,2,1,6,1,3,2011
2500000,3,1,5,1,3,2011
1000000,3,1,1,1,3,2011
9999999,2,1,5,1,3,2011
750000,2,0,1,1,3,2011
5162488,3,3,4,1,3,2011
900000,2,1,5,1,1,2011
550000,3,1,2,1,3,2011
300000,2,1,10,1,1,2011
400000,3,1,4,1,1,2011
500000,3,1,2,4,3,2011
1580000,3,0,3,1,3,2011
5162488,4,2,6,1,1,2011
30000,2,0,2,3,1,2011
9999999,3,1,5,3,1,2011
400000,2,1,4,4,1,2011
450000,2,1,4,1,3,2011
800000,2,1,6,1,1,2011
1023000,3,1,9,3,3,2011
5162488,4,0,1,1,1,2011
9999999,1,0,5,3,1,2011
375000,1,0,6,1,3,2011
1600000,3,1,5,2,3,2011
500000,1,1,7,1,1,2011
750000,2,1,1,1,1,2011
9999999,3,1,8,2,1,2011
9999999,2,0,4,1,1,2011
5162488,4,4,6,3,1,2011
500000,3,1,5,1,3,2011
5162488,3,2,6,1,1,2011
920000,2,0,3,1,1,2011
1675000,3,3,5,1,1,2011
1300000,5,0,8,2,1,2011
400000,2,1,6,1,3,2011
185000,2,2,6,1,3,2011
350000,3,1,10,1,3,2011
700000,2,1,1,1,3,2011
500000,2,1,4,1,1,2011
800000,3,1,4,1,3,2011
700000,2,2,6,1,1,2011
350000,3,2,5,1,3,2011
950700,1,1,6,1,3,2011
480000,2,1,3,1,1,2011
5162488,4,1,5,1,3,2011
395000,2,1,2,4,3,2011
5162488,4,2,5,1,3,2011
5162488,5,3,6,1,3,2011
850000,3,1,5,1,3,2011
2500000,3,2,6,1,3,2011
1000000,2,0,3,4,1,2011
950000,3,3,4,1,3,2011
1500000,2,2,1,1,1,2011
1150000,3,1,4,1,1,2011
9956,3,1,9,2,3,2011
452000,3,1,5,1,3,2011
26000,2,1,1,4,3,2011
1000000,8,0,5,1,3,2011
750000,3,2,4,1,3,2011
5162488,3,3,6,1,3,2011
475000,3,1,1,4,3,2011
2100000,3,1,6,1,3,2011
900000,3,1,5,2,1,2011
270000,1,0,4,1,1,2011
1000000,3,1,1,1,3,2011
2000000,2,0,1,1,3,2011
800000,4,2,10,1,1,2011
1000000,3,1,6,1,1,2011
1300000,2,1,1,1,1,2011
400000,3,1,6,1,3,2011
615000,2,1,4,1,1,2011
1000000,3,0,6,3,3,2011
25000,2,1,9,2,3,2011
800000,3,1,3,1,1,2011
375000,1,0,1,1,1,2011
100000,1,0,5,1,1,2011
250000,5,1,8,2,3,2011
440000,3,1,5,1,3,2011
745000,3,1,1,4,3,2011
5162488,4,3,5,1,3,2011
500000,2,1,5,1,1,2011
445000,2,0,6,1,3,2011
1400000,3,2,5,1,1,2011
950000,3,2,3,4,3,2011
500000,2,1,3,1,1,2011
600000,2,1,2,4,1,2011
1200000,4,1,8,1,3,2011
600000,3,1,10,1,3,2011
735000,2,1,4,3,1,2011
5162488,4,2,6,1,1,2011
450000,2,1,6,1,1,2011
525000,3,2,9,1,3,2011
9999999,2,1,3,1,1,2011
330000,1,0,4,4,1,2011
600000,3,1,6,1,1,2011
5162488,5,3,6,1,1,2011
500000,3,1,2,2,3,2011
850000,2,1,1,1,1,2011
550000,1,0,5,4,1,2011
5162488,5,2,2,1,3,2011
2500000,4,3,6,1,1,2011
650000,2,1,6,1,1,2011
250000,3,1,10,3,1,2011
5162488,5,3,6,1,3,2011
438000,2,0,5,1,1,2011
2000000,3,2,1,1,1,2011
650000,1,0,4,4,3,2011
5162488,3,1,6,1,3,2011
395000,3,0,2,4,3,2011
900000,4,1,10,1,3,2011
1200,4,1,7,3,3,2011
1000000,2,2,4,1,1,2011
600000,4,1,5,1,3,2011
1100000,2,1,1,1,1,2011
1000000,3,1,6,2,3,2011
500000,4,1,2,3,3,2011
300000,2,1,7,4,3,2011
12000,2,1,2,1,3,2011
12000,3,2,3,2,3,2011
900000,3,2,5,4,1,2011
300000,2,1,6,1,1,2011
800000,3,1,6,1,3,2011
550000,2,0,5,1,1,2011
1300000,3,0,2,3,3,2011
