value,bdrms,non_bdrms,subboroughcode,race,income_tile,year,agperswt
1800000,3,3,5,1,1,2011,20025740
9999999,4,1,10,3,3,2011,96536328
9999999,3,0,8,2,1,2011,1888112
2000000,4,1,7,1,3,2011,113672152
550000,3,1,10,1,1,2011,26173832
500000,3,1,8,1,3,2011,45485408
5162488,3,1,6,1,3,2011,72854976
700000,2,2,6,1,1,2011,15189042
300000,2,0,4,1,3,2011,38159064
1500000,4,2,4,1,3,2011,21861640
750000,4,1,5,3,3,2011,122608560
1200000,3,1,6,1,3,2011,15189042
5162488,5,2,6,1,3,2011,130967824
400000,1,0,4,1,1,2011,21861640
5162488,3,3,5,1,3,2011,41585008
5162488,4,2,1,3,1,2011,20209968
650000,1,0,4,1,3,2011,36208420
400000,2,0,5,1,3,2011,20025740
510000,4,1,8,2,1,2011,18156604
500000,4,1,2,1,1,2011,44021264
400000,2,1,7,2,1,2011,25204430
1000000,5,3,3,1,3,2011,20538370
600000,2,1,4,4,1,2011,20329842
1000000,2,2,1,1,3,2011,58061500
2000000,3,1,5,1,3,2011,54514800
12000,2,1,6,1,3,2011,16552704
2500000,3,1,5,1,3,2011,20025740
1000000,3,1,1,1,3,2011,41969364
9999999,2,1,5,1,3,2011,37876380
750000,2,0,1,1,3,2011,56113356
5162488,3,3,4,1,3,2011,34871672
900000,2,1,5,1,1,2011,20025740
550000,3,1,2,1,3,2011,32163754
300000,2,1,10,1,1,2011,17290180
400000,3,1,4,1,1,2011,18722512
500000,3,1,2,4,3,2011,19097644
1580000,3,0,3,1,3,2011,22620252
5162488,4,2,6,1,1,2011,37445024
30000,2,0,2,3,1,2011,24313652
9999999,3,1,5,3,1,2011,117029264
400000,2,1,4,4,1,2011,21861640
450000,2,1,4,1,3,2011,21861640
800000,2,1,6,1,1,2011,15189042
1023000,3,1,9,3,3,2011,147862224
5162488,4,0,1,1,1,2011,81072168
9999999,1,0,5,3,1,2011,83206000
375000,1,0,6,1,3,2011,15189042
1600000,3,1,5,2,3,2011,20025740
500000,1,1,7,1,1,2011,25204430
750000,2,1,1,1,1,2011,20209968
9999999,3,1,8,2,1,2011,20753122
9999999,2,0,4,1,1,2011,18803070
5162488,4,4,6,3,1,2011,130291488
500000,3,1,5,1,3,2011,40051480
5162488,3,2,6,1,1,2011,51406440
920000,2,0,3,1,1,2011,22620252
1675000,3,3,5,1,1,2011,20025740
1300000,5,0,8,2,1,2011,68897504
400000,2,1,6,1,3,2011,34605060
185000,2,2,6,1,3,2011,30378084
350000,3,1,10,1,3,2011,52347664
700000,2,1,1,1,3,2011,37445024
500000,2,1,4,1,1,2011,21861640
800000,3,1,4,1,3,2011,28056678
700000,2,2,6,1,1,2011,15189042
350000,3,2,5,1,3,2011,20025740
950700,1,1,6,1,3,2011,15189042
480000,2,1,3,1,1,2011,22620252
5162488,4,1,5,1,3,2011,37050020
395000,2,1,2,4,3,2011,41506244
5162488,4,2,5,1,3,2011,87331504
5162488,5,3,6,1,3,2011,49043484
850000,3,1,5,1,3,2011,80604424
2500000,3,2,6,1,3,2011,34605060
1000000,2,0,3,4,1,2011,50576096
950000,3,3,4,1,3,2011,50091664
1500000,2,2,1,1,1,2011,49055020
1150000,3,1,4,1,1,2011,63895232
9956,3,1,9,2,3,2011,17770196
452000,3,1,5,1,3,2011,20792504
26000,2,1,1,4,3,2011,41418908
1000000,8,0,5,1,3,2011,56113356
750000,3,2,4,1,3,2011,21861640
5162488,3,3,6,1,3,2011,49043484
475000,3,1,1,4,3,2011,49055020
2100000,3,1,6,1,3,2011,34605060
900000,3,1,5,2,1,2011,20025740
270000,1,0,4,1,1,2011,18722512
1000000,3,1,1,1,3,2011,24527510
2000000,2,0,1,1,3,2011,49055020
800000,4,2,10,1,1,2011,26173832
1000000,3,1,6,1,1,2011,29508780
1300000,2,1,1,1,1,2011,20209968
400000,3,1,6,1,3,2011,28501140
615000,2,1,4,1,1,2011,34871672
1000000,3,0,6,3,3,2011,96718432
25000,2,1,9,2,3,2011,36799072
800000,3,1,3,1,1,2011,38538772
375000,1,0,1,1,1,2011,20209968
100000,1,0,5,1,1,2011,18938192
250000,5,1,8,2,3,2011,63229488
