value,rentm,bdrms,non_bdrms,condition,coopcond,elevator,agperswt,borough,sub_borough,income,race,income_tile,owned,year
9999999,3500,3,0,2,1,1,31825254,3,4,0,1,1,0,2011
9999999,1100,2,2,2,1,2,18736204,3,2,0,1,1,0,2011
9999999,579,2,1,2,1,1,33684776,3,2,1,2,3,0,2011
1800000,99999,3,3,2,3,1,20025740,3,5,0,1,1,1,2011
9999999,1850,1,0,2,1,1,19340500,3,3,1,1,3,0,2011
9999999,99999,4,1,2,1,2,96536328,3,10,1,3,3,1,2011
9999999,985,3,1,2,1,1,31948178,3,8,0,2,1,0,2011
9999999,99999,3,0,3,1,2,1888112,3,8,0,2,1,1,2011
9999999,689,1,0,2,1,2,18825748,3,1,0,1,1,0,2011
9999999,357,2,0,2,1,2,1110904,3,8,0,2,1,0,2011
9999999,1200,3,1,2,2,1,44134544,3,8,1,2,3,0,2011
9999999,1224,3,1,2,1,2,38739128,3,2,0,1,1,0,2011
9999999,302,3,2,2,1,2,1390217,3,7,1,2,3,0,2011
2000000,99999,4,1,2,1,2,113672152,3,7,1,1,3,1,2011
550000,99999,3,1,2,3,1,26173832,3,10,0,1,1,1,2011
9999999,2850,3,1,2,1,1,32163754,3,2,0,1,1,0,2011
9999999,1900,2,0,2,1,2,18825748,3,1,1,1,3,0,2011
9999999,2395,3,0,2,1,2,42067792,3,2,0,4,1,0,2011
9999999,2300,3,0,2,1,1,36291056,3,3,1,1,3,0,2011
9999999,905,1,0,2,1,1,18825748,3,1,1,1,3,0,2011
9999999,470,2,1,2,1,1,18866196,3,2,0,4,1,0,2011
500000,99999,3,1,2,2,1,45485408,3,8,1,1,3,1,2011
9999999,2750,2,1,2,1,1,43801176,3,6,1,1,3,0,2011
5162488,99999,3,1,2,3,1,72854976,3,6,1,1,3,1,2011
9999999,1300,2,1,2,1,1,22542574,3,6,1,1,3,0,2011
9999999,2855,2,1,2,1,1,21201052,3,6,1,1,3,0,2011
9999999,738,3,1,2,1,1,31741776,3,5,1,2,3,0,2011
700000,99999,2,2,2,2,1,15189042,3,6,0,1,1,1,2011
9999999,1048,4,1,2,1,1,29899648,3,7,1,2,3,0,2011
300000,99999,2,0,2,3,2,38159064,3,4,1,1,3,1,2011
1500000,99999,4,2,2,3,1,21861640,3,4,1,1,3,1,2011
750000,99999,4,1,2,2,1,122608560,3,5,1,3,3,1,2011
1200000,99999,3,1,2,3,1,15189042,3,6,1,1,3,1,2011
9999999,1125,1,0,2,1,1,41506244,3,8,0,2,1,0,2011
9999999,953,2,1,2,1,2,16309136,3,10,0,3,1,0,2011
9999999,345,3,0,2,1,2,17599688,3,8,1,3,3,0,2011
5162488,99999,5,2,2,3,1,130967824,3,6,1,1,3,1,2011
9999999,825,1,0,2,1,2,36512416,3,7,0,1,1,0,2011
9999999,2200,2,1,2,1,1,41585008,3,5,0,1,1,0,2011
400000,99999,1,0,2,3,1,21861640,3,4,0,1,1,1,2011
9999999,1090,3,1,2,1,2,17399572,3,7,0,3,1,0,2011
5162488,99999,3,3,2,3,1,41585008,3,5,1,1,3,1,2011
9999999,600,4,1,2,1,2,2008416,3,8,0,2,1,0,2011
9999999,2300,4,1,2,1,2,18156604,3,8,1,4,3,0,2011
9999999,590,3,1,2,1,1,41957464,3,7,0,3,1,0,2011
9999999,3750,4,1,2,1,1,48462516,3,4,1,1,3,0,2011
9999999,199,2,3,2,1,2,19079532,3,4,0,1,1,0,2011
9999999,1475,3,0,2,1,1,91494576,3,10,1,1,3,0,2011
9999999,1200,3,2,2,1,1,35199376,3,8,1,2,3,0,2011
9999999,769,2,0,2,1,2,17599688,3,8,0,2,1,0,2011
5162488,99999,4,2,2,1,2,20209968,3,1,0,3,1,1,2011
9999999,2190,2,1,2,1,1,16552704,3,6,1,1,3,0,2011
9999999,250,2,1,2,1,1,18462144,3,8,0,2,1,0,2011
9999999,2900,3,1,2,2,1,34423288,3,4,0,1,1,0,2011
9999999,2150,3,0,2,1,2,83721904,3,6,0,3,1,0,2011
9999999,1400,3,0,3,1,2,75045416,3,2,0,4,1,0,2011
9999999,302,4,1,2,1,2,1251538,3,7,0,3,1,0,2011
650000,99999,1,0,2,2,1,36208420,3,4,1,1,3,1,2011
9999999,2550,1,0,2,2,1,19340500,3,3,1,1,3,0,2011
9999999,690,1,0,2,1,2,17770196,3,9,0,3,1,0,2011
9999999,1340,2,1,2,1,2,50878680,3,1,0,4,1,0,2011
9999999,1220,2,1,3,1,1,21201052,3,6,0,1,1,0,2011
400000,99999,2,0,2,3,1,20025740,3,5,1,1,3,1,2011
9999999,750,3,1,2,1,2,78196336,3,9,1,3,3,0,2011
9999999,2050,2,1,2,1,2,37153196,3,3,0,1,1,0,2011
9999999,2060,3,1,2,1,2,32158060,3,6,0,1,1,0,2011
510000,99999,4,1,2,2,1,18156604,3,8,0,2,1,1,2011
9999999,1600,1,1,2,1,1,21201052,3,6,1,1,3,0,2011
500000,99999,4,1,2,3,1,44021264,3,2,0,1,1,1,2011
400000,99999,2,1,2,3,1,25204430,3,7,0,2,1,1,2011
9999999,1900,2,1,2,1,2,18938192,3,5,0,1,1,0,2011
9999999,1415,1,0,2,1,1,16991848,3,3,0,1,1,0,2011
9999999,2175,2,1,2,1,1,39707752,3,6,1,1,3,0,2011
9999999,785,3,1,2,1,1,44669436,3,2,1,2,3,0,2011
1000000,99999,5,3,2,2,1,20538370,3,3,1,1,3,1,2011
600000,99999,2,1,2,2,1,20329842,3,4,0,4,1,1,2011
9999999,1900,1,0,2,1,1,19079532,3,4,1,4,3,0,2011
9999999,1460,2,1,2,1,1,47857592,3,9,0,3,1,0,2011
1000000,99999,2,2,2,2,1,58061500,3,1,1,1,3,1,2011
9999999,1500,3,1,3,1,2,32163754,3,2,1,1,3,0,2011
9999999,357,5,1,3,1,2,3775806,3,10,1,3,3,0,2011
2000000,99999,3,1,2,3,1,54514800,3,5,1,1,3,1,2011
9999999,1100,1,0,2,1,1,17770196,3,9,1,4,3,0,2011
9999999,976,4,1,2,1,2,81344808,3,8,0,3,1,0,2011
9999999,784,1,0,2,3,1,18825748,3,1,0,1,1,0,2011
9999999,311,1,0,2,1,1,18866196,3,2,0,3,1,0,2011
9999999,875,1,0,2,1,2,18315528,3,8,0,4,1,0,2011
9999999,2900,2,1,2,1,1,47928408,3,5,0,1,1,0,2011
9999999,1800,3,0,1,1,2,15980757,3,2,0,4,1,0,2011
9999999,1475,4,2,2,1,2,35509088,3,8,1,2,3,0,2011
9999999,3500,2,1,2,2,1,16529210,3,1,0,1,1,0,2011
9999999,1200,2,1,3,1,2,16309136,3,10,0,3,1,0,2011
9999999,1100,2,2,2,1,1,17599688,3,8,1,2,3,0,2011
12000,99999,2,1,2,3,1,16552704,3,6,1,1,3,1,2011
9999999,4000,3,1,2,1,1,88545968,3,6,0,1,1,0,2011
9999999,840,3,1,2,1,1,84597888,3,10,0,3,1,0,2011
9999999,1200,3,1,2,1,2,42337296,3,10,1,3,3,0,2011
2500000,99999,3,1,2,3,1,20025740,3,5,1,1,3,1,2011
9999999,997,2,1,2,1,1,14632568,3,5,0,2,1,0,2011
1000000,99999,3,1,2,3,1,41969364,3,1,1,1,3,1,2011
9999999,895,1,0,2,1,1,16518587,3,10,0,1,1,0,2011
9999999,2300,1,0,2,3,1,19340500,3,3,0,1,1,0,2011
9999999,400,5,1,2,1,1,3313392,3,8,0,3,1,0,2011
9999999,3800,3,1,2,1,1,75403872,3,5,0,1,1,0,2011
9999999,985,4,1,3,1,2,52175384,3,9,1,3,3,0,2011
9999999,1163,2,1,2,1,1,15977209,3,10,1,3,3,0,2011
9999999,1250,3,1,2,1,2,34799144,3,7,0,3,1,0,2011
9999999,900,2,0,3,1,2,89862928,3,2,1,4,3,0,2011
9999999,280,2,1,2,1,2,633907,3,8,1,2,3,0,2011
9999999,250,2,1,2,1,2,2136223,3,10,0,3,1,0,2011
9999999,300,2,1,3,3,2,3901185,3,10,0,3,1,0,2011
9999999,99999,2,1,2,1,2,37876380,3,5,1,1,3,1,2011
9999999,1124,3,2,2,1,1,61415592,3,10,0,3,1,0,2011
9999999,194,1,0,2,1,1,17239036,3,2,1,2,3,0,2011
9999999,1450,2,1,2,1,2,21900588,3,6,0,1,1,0,2011
9999999,4300,3,0,2,1,1,39858664,3,1,0,3,1,0,2011
9999999,247,3,1,2,1,1,625769,3,7,1,2,3,0,2011
9999999,357,4,2,3,1,1,507130,3,8,0,2,1,0,2011
9999999,809,1,0,2,2,1,21201052,3,6,1,1,3,0,2011
750000,99999,2,0,2,3,1,56113356,3,1,1,1,3,1,2011
9999999,1750,2,0,2,1,2,22542574,3,6,0,1,1,0,2011
9999999,1200,3,1,2,2,2,67571296,3,7,1,3,3,0,2011
5162488,99999,3,3,2,2,1,34871672,3,4,1,1,3,1,2011
9999999,2975,3,0,2,1,1,30957792,3,1,1,1,3,0,2011
9999999,1100,2,0,2,1,2,15977209,3,10,1,1,3,0,2011
9999999,2100,2,0,2,1,1,31001794,3,6,1,1,3,0,2011
900000,99999,2,1,2,3,1,20025740,3,5,0,1,1,1,2011
550000,99999,3,1,2,3,1,32163754,3,2,1,1,3,1,2011
9999999,822,3,1,2,3,1,17770196,3,9,0,3,1,0,2011
9999999,315,2,0,2,1,2,1041274,3,1,0,1,1,0,2011
9999999,418,3,1,2,1,2,1001239,3,7,1,3,3,0,2011
9999999,1500,3,2,2,1,1,33421748,3,10,1,1,3,0,2011
9999999,1800,2,1,3,1,2,18825748,3,1,1,1,3,0,2011
9999999,960,2,1,2,1,2,21201052,3,6,1,1,3,0,2011
9999999,1100,1,0,2,3,1,21861640,3,4,0,1,1,0,2011
9999999,2500,2,1,2,4,1,21201052,3,6,0,1,1,0,2011
300000,99999,2,1,2,2,1,17290180,3,10,0,1,1,1,2011
9999999,1825,2,0,8,1,1,16991848,3,3,0,4,1,0,2011
9999999,2400,2,0,2,1,1,41506244,3,1,0,1,1,0,2011
9999999,2400,3,1,2,1,1,43380832,3,7,1,3,3,0,2011
400000,99999,3,1,2,3,1,18722512,3,4,0,1,1,1,2011
9999999,193,2,1,2,1,2,625769,3,2,1,3,3,0,2011
9999999,2100,1,0,2,1,1,21201052,3,6,1,2,3,0,2011
9999999,2300,2,1,2,1,1,19340500,3,3,1,1,3,0,2011
9999999,1400,1,0,3,1,2,18866196,3,2,0,4,1,0,2011
9999999,800,3,1,2,1,2,33684776,3,7,0,2,1,0,2011
9999999,400,4,1,3,1,2,3096051,3,10,1,3,3,0,2011
9999999,259,3,1,2,1,1,17239036,3,7,1,2,3,0,2011
9999999,1600,3,0,2,1,2,69780928,3,9,0,1,1,0,2011
9999999,800,3,1,2,1,1,42067792,3,2,1,4,3,0,2011
9999999,546,4,1,2,1,2,103069904,3,8,0,3,1,0,2011
500000,99999,3,1,2,3,1,19097644,3,2,1,4,3,1,2011
1580000,99999,3,0,2,2,1,22620252,3,3,1,1,3,1,2011
9999999,2300,2,0,2,1,1,31542576,3,6,1,1,3,0,2011
9999999,1575,3,1,2,1,1,54504768,3,10,0,3,1,0,2011
9999999,1900,1,0,2,1,2,18736204,3,2,0,1,1,0,2011
9999999,528,2,1,2,1,2,17599688,3,8,0,2,1,0,2011
9999999,247,3,1,2,1,2,2215712,3,9,1,2,3,0,2011
9999999,4500,2,1,2,1,1,33133924,3,3,1,4,3,0,2011
9999999,312,3,2,3,1,2,1251538,3,2,1,1,3,0,2011
9999999,630,4,1,2,1,1,14632568,3,5,1,3,3,0,2011
5162488,99999,4,2,2,3,1,37445024,3,6,0,1,1,1,2011
9999999,920,3,1,2,1,2,58684936,3,10,1,3,3,0,2011
30000,99999,2,0,2,3,1,24313652,3,2,0,3,1,1,2011
9999999,2500,2,1,2,1,2,34423288,3,4,1,1,3,0,2011
9999999,2400,2,1,2,4,1,18825748,3,1,0,1,1,0,2011
9999999,1950,2,1,2,1,1,14632568,3,5,0,3,1,0,2011
9999999,280,2,0,2,1,2,625769,3,7,1,2,3,0,2011
9999999,869,1,1,2,1,2,18141284,3,9,1,2,3,0,2011
9999999,369,3,1,2,1,1,48627304,3,2,0,3,1,0,2011
9999999,357,4,1,3,1,2,1730578,3,8,1,2,3,0,2011
9999999,700,3,1,2,1,2,35503256,3,8,0,2,1,0,2011
9999999,1600,2,0,2,1,2,101567272,3,2,0,3,1,0,2011
9999999,467,3,1,2,1,1,633907,3,8,0,2,1,0,2011
9999999,630,2,1,3,1,2,21201052,3,6,1,1,3,0,2011
9999999,863,2,0,2,1,2,18736204,3,2,0,1,1,0,2011
9999999,6866,3,0,2,1,1,37434588,3,4,1,1,3,0,2011
9999999,1780,2,1,2,1,1,18828732,3,1,0,1,1,0,2011
9999999,42,2,1,2,1,2,17599688,3,8,0,2,1,0,2011
9999999,1950,2,0,2,1,2,20792504,3,5,0,1,1,0,2011
9999999,2800,2,1,2,1,1,33921104,3,4,1,1,3,0,2011
9999999,950,2,1,2,1,2,17557088,3,10,1,2,3,0,2011
9999999,99999,3,1,2,3,1,117029264,3,5,0,3,1,1,2011
9999999,676,1,0,2,1,2,15686945,3,5,0,2,1,0,2011
9999999,502,4,1,2,1,2,4860353,3,7,0,2,1,0,2011
400000,99999,2,1,2,3,1,21861640,3,4,0,4,1,1,2011
9999999,2500,3,1,2,1,1,37153196,3,3,1,1,3,0,2011
9999999,3020,4,0,3,1,2,61081448,3,2,1,1,3,0,2011
9999999,400,2,1,2,1,2,18825748,3,1,1,1,3,0,2011
9999999,3300,3,1,2,1,1,37153196,3,3,1,1,3,0,2011
9999999,4363,3,0,2,1,1,33058420,3,1,0,3,1,0,2011
9999999,3200,2,1,2,4,1,37153196,3,3,0,1,1,0,2011
450000,99999,2,1,2,3,1,21861640,3,4,1,1,3,1,2011
9999999,3000,2,0,2,1,1,37445024,3,3,1,1,3,0,2011
9999999,1236,2,0,2,1,2,16991848,3,3,0,3,1,0,2011
800000,99999,2,1,2,3,1,15189042,3,6,0,1,1,1,2011
9999999,3150,2,1,2,1,1,16552704,3,6,0,1,1,0,2011
9999999,1700,2,2,2,1,2,18736204,3,2,1,1,3,0,2011
9999999,266,2,1,2,4,1,17770196,3,9,1,3,3,0,2011
9999999,2100,2,1,2,1,2,18717296,3,2,0,1,1,0,2011
1023000,99999,3,1,2,1,2,147862224,3,9,1,3,3,1,2011
9999999,625,2,1,3,1,1,82801296,3,2,1,4,3,0,2011
9999999,343,3,1,2,1,2,1888112,3,8,0,2,1,0,2011
9999999,1800,1,0,2,1,2,17340440,3,4,0,4,1,0,2011
5162488,99999,4,0,2,2,1,81072168,3,1,0,1,1,1,2011
9999999,99999,1,0,2,1,1,83206000,3,5,0,3,1,1,2011
9999999,1725,2,1,2,1,2,21201052,3,6,0,1,1,0,2011
9999999,2100,2,0,2,1,1,18825748,3,1,1,1,3,0,2011
375000,99999,1,0,2,3,1,15189042,3,6,1,1,3,1,2011
1600000,99999,3,1,2,2,1,20025740,3,5,1,2,3,1,2011
9999999,2100,3,0,3,1,1,35424736,3,2,0,4,1,0,2011
500000,99999,1,1,2,3,1,25204430,3,7,0,1,1,1,2011
9999999,1741,3,2,2,3,1,18938192,3,5,0,1,1,0,2011
9999999,1330,2,1,2,1,1,50397348,3,5,1,1,3,0,2011
750000,99999,2,1,2,3,1,20209968,3,1,0,1,1,1,2011
9999999,1395,2,1,2,1,1,33105408,3,6,1,1,3,0,2011
9999999,1450,2,0,2,1,1,33684776,3,7,1,2,3,0,2011
9999999,2200,2,1,2,1,2,20932862,3,5,1,4,3,0,2011
9999999,3150,4,1,2,1,2,53356604,3,9,1,2,3,0,2011
9999999,3100,2,1,2,1,1,16566963,3,3,0,1,1,0,2011
9999999,1975,2,1,2,1,2,33105408,3,6,1,1,3,0,2011
9999999,2111,3,1,2,1,2,49692128,3,9,0,1,1,0,2011
9999999,99999,3,1,2,3,1,20753122,3,8,0,2,1,1,2011
9999999,3200,3,0,2,3,1,47779836,3,2,1,1,3,0,2011
9999999,99999,2,0,2,1,1,18803070,3,4,0,1,1,1,2011
9999999,523,2,1,2,1,1,18736204,3,2,0,1,1,0,2011
9999999,1750,1,0,3,1,2,19340500,3,3,1,1,3,0,2011
9999999,1000,2,1,2,1,1,16991848,3,3,0,3,1,0,2011
9999999,3250,2,0,2,1,1,18828732,3,1,0,4,1,0,2011
9999999,437,2,0,2,1,1,15948566,3,5,1,2,3,0,2011
5162488,99999,4,4,2,2,1,130291488,3,6,0,3,1,1,2011
9999999,2250,1,0,2,1,1,19079532,3,4,1,4,3,0,2011
500000,99999,3,1,2,3,1,40051480,3,5,1,1,3,1,2011
9999999,315,2,1,2,1,2,625769,3,7,1,2,3,0,2011
5162488,99999,3,2,2,3,1,51406440,3,6,0,1,1,1,2011
9999999,2275,2,1,2,1,2,19340500,3,3,0,1,1,0,2011
920000,99999,2,0,2,3,1,22620252,3,3,0,1,1,1,2011
9999999,708,1,0,2,1,1,41210832,3,1,0,4,1,0,2011
9999999,1750,2,0,2,3,1,17340440,3,4,0,1,1,0,2011
9999999,425,4,1,2,1,2,1943254,3,7,1,2,3,0,2011
9999999,2283,3,3,2,3,1,21201052,3,6,1,1,3,0,2011
1675000,99999,3,3,2,3,1,20025740,3,5,0,1,1,1,2011
1300000,99999,5,0,2,1,2,68897504,3,8,0,2,1,1,2011
9999999,2799,4,0,2,1,2,59684064,3,2,0,2,1,0,2011
9999999,3084,2,0,2,1,1,33133924,3,3,0,4,1,0,2011
400000,99999,2,1,2,3,1,34605060,3,6,1,1,3,1,2011
9999999,357,4,2,2,1,2,1974539,3,7,0,3,1,0,2011
9999999,350,3,1,3,1,2,1110904,3,7,1,2,3,0,2011
9999999,1200,1,0,2,1,1,19344896,3,7,0,4,1,0,2011
9999999,2560,3,0,2,1,1,39621824,3,4,1,1,3,0,2011
9999999,175,1,0,2,1,1,22010632,3,2,1,3,3,0,2011
9999999,700,1,0,2,3,1,19079532,3,4,0,1,1,0,2011
9999999,6866,3,1,2,1,1,37657464,3,1,1,1,3,0,2011
9999999,2650,2,1,2,1,2,18938192,3,5,1,1,3,0,2011
9999999,6866,3,1,2,1,1,18576600,3,3,0,1,1,0,2011
9999999,2100,2,1,2,1,2,17129884,3,5,1,1,3,0,2011
9999999,565,1,0,2,1,2,54140344,3,6,0,3,1,0,2011
9999999,1000,1,0,2,1,2,633907,3,8,1,2,3,0,2011
9999999,370,3,2,2,1,1,46382592,3,7,1,2,3,0,2011
9999999,1400,4,1,2,1,1,62321380,3,7,1,2,3,0,2011
9999999,228,3,1,2,1,2,32775138,3,8,1,2,3,0,2011
185000,99999,2,2,2,3,1,30378084,3,6,1,1,3,1,2011
9999999,3000,4,1,2,1,1,61498496,3,7,1,4,3,0,2011
9999999,1563,2,1,2,1,2,59051540,3,10,0,4,1,0,2011
9999999,1000,3,1,2,1,1,49197764,3,8,1,2,3,0,2011
