OBJECTID,Join_Count,OBJECTID_1,Address,Date,Unit,Price,Prox_Q,Q_0_150,Q_150_300,Q_300_450,Q_450_600,Q_600_750,A_0_150,A_150_300,A_300_450,East,West,mean_proximity,Kernel_RBC,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020
1,2465,1,419 EAST 84TH   STREET,"05/14/2013
",#5,999000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
2,2465,2,419 EAST 84TH   STREET,"02/15/2018
",#5,1495000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
3,2465,3,419 EAST 84TH   STREET,"12/27/2012
",#3,10,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
4,2465,4,419 EAST 84TH   STREET,"12/20/2012
",#3,10,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
5,2465,5,419 EAST 84TH   STREET,"12/04/2012
",#3,10,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
6,2465,6,419 EAST 84TH   STREET,"05/30/1995
",#3 (Condo),229000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
7,2465,7,419 EAST 84TH   STREET,"05/19/2006
",#4,805000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
8,2465,8,419 EAST 84TH   STREET,"05/09/2013
",#4,950000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
9,2465,9,419 EAST 84TH   STREET,"03/14/2018
",#4,1420000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
10,2465,10,419 EAST 84TH   STREET,"02/12/2003
",#2 (Condo),800000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
11,2465,11,419 EAST 84TH   STREET,"06/12/2002
",#1 (Condo),1150000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
12,2465,12,419 EAST 84TH   STREET,"01/13/2011
",#1,2700000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
13,974,13,172 EAST 71ST STREET,"11/06/2018
",Unknown,6750000,1,0,1,0,0,0,0,1,0,0,1,225,508354.6563,97,108,116,97,105,67,91,62,82,68,73,115,126,118,99,118,22
14,974,14,172 EAST 71ST STREET,"07/31/2018
",Unknown,6750000,1,0,1,0,0,0,0,1,0,0,1,225,508354.6563,97,108,116,97,105,67,91,62,82,68,73,115,126,118,99,118,22
15,4430,15,343 EAST 84TH   STREET,"07/08/2015
",(House - 1 family),5656703,1,0,1,0,0,0,0,0,0,1,0,225,1097099.25,317,265,278,244,278,239,270,224,325,291,371,491,658,807,543,345,105
16,2394,16,417 EAST 84TH   STREET,"03/26/2008
",(House - 4 family),4400000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,260,312,314,187,272,285,296,218,164,199,265,257,226,246,218,281,24
17,2394,17,417 EAST 84TH   STREET,"09/21/2011
",Unknown,4995000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,260,312,314,187,272,285,296,218,164,199,265,257,226,246,218,281,24
18,2394,18,417 EAST 84TH   STREET,"11/27/2017
",(House - 1 family),8300000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,260,312,314,187,272,285,296,218,164,199,265,257,226,246,218,281,24
19,2187,19,433 EAST 85TH STREET,"06/08/2018
",(House - 3 family),5550000,1,0,0,1,0,0,0,0,0,1,0,375,598828.3125,218,261,309,185,323,302,213,113,121,188,283,302,207,199,253,281,27
20,2187,20,433 EAST 85TH STREET,"06/11/2018
",Unknown,5750000,1,0,0,1,0,0,0,0,0,1,0,375,598828.3125,218,261,309,185,323,302,213,113,121,188,283,302,207,199,253,281,27
21,2187,21,433 EAST 85TH STREET,"10/16/2017
",#1,6850000,1,0,0,1,0,0,0,0,0,1,0,375,598828.3125,218,261,309,185,323,302,213,113,121,188,283,302,207,199,253,281,27
22,1370,22,214 EAST 70TH   STREET,"08/11/2006
",#4,1995000,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
23,1370,23,214 EAST 70TH   STREET,"08/11/2006
",#4,1995000,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
24,1370,24,214 EAST 70TH   STREET,"06/02/2005
",#3,1272812,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
25,1370,25,214 EAST 70TH   STREET,"06/02/2005
",#3,1272812,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
26,1370,26,214 EAST 70TH   STREET,"06/01/2007
",#3,1795000,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
27,1370,27,214 EAST 70TH   STREET,"06/01/2007
",#3,1795000,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
28,3723,28,334 EAST 77TH STREET,"05/26/2010
",#9,275000,1,0,0,1,0,0,0,0,0,1,0,375,1193588.875,266,300,341,303,271,251,296,223,196,252,256,416,437,574,593,444,36
29,3723,29,334 EAST 77TH STREET,"04/24/2010
",#9,296000,1,0,0,1,0,0,0,0,0,1,0,375,1193588.875,266,300,341,303,271,251,296,223,196,252,256,416,437,574,593,444,36
30,3723,30,334 EAST 77TH STREET,"02/17/2015
",#17,305000,1,0,0,1,0,0,0,0,0,1,0,375,1193588.875,266,300,341,303,271,251,296,223,196,252,256,416,437,574,593,444,36
31,3723,31,334 EAST 77TH STREET,"08/02/2014
",#17,309000,1,0,0,1,0,0,0,0,0,1,0,375,1193588.875,266,300,341,303,271,251,296,223,196,252,256,416,437,574,593,444,36
